"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.585673482E0,6.541399658E-2,4.970999900E-3,1.485459954E-1
4.599679194E0,2.201100066E-2,1.082340032E-1,1.922959983E-1
4.613685646E0,2.201100066E-2,1.082340032E-1,1.922959983E-1
4.627691396E0,6.938000210E-3,1.085510030E-1,2.553550005E-1
4.641696352E0,2.043100074E-2,8.804299682E-2,2.540940046E-1
4.655702063E0,2.043100074E-2,8.804299682E-2,2.540940046E-1
4.669708477E0,1.155900024E-2,2.988000028E-2,2.306679934E-1
4.683714183E0,-3.629799932E-2,1.367000025E-2,2.500919998E-1
4.697719121E0,-3.629799932E-2,1.367000025E-2,2.500919998E-1
4.711724819E0,1.378799975E-2,3.077300079E-2,2.454710007E-1
4.725731280E0,3.427400067E-2,2.738299966E-2,2.058819979E-1
4.739736982E0,7.212699950E-2,4.547800124E-2,2.324340045E-1
4.753741900E0,7.212699950E-2,4.547800124E-2,2.324340045E-1
4.767747563E0,5.383199826E-2,3.384700045E-2,1.902859956E-1
4.781754036E0,4.665900022E-2,3.206799924E-2,1.812079996E-1
4.795759713E0,4.665900022E-2,3.206799924E-2,1.812079996E-1
4.809764632E0,4.302800074E-2,5.748400092E-2,1.649059951E-1
4.823770328E0,5.114899948E-2,7.206399739E-2,1.637340039E-1
4.837776843E0,5.114899948E-2,7.206399739E-2,1.637340039E-1
4.851782501E0,-1.427100040E-2,5.567099899E-2,1.931889951E-1
4.865787410E0,-5.965999793E-3,7.484299690E-2,2.415190041E-1
4.879793088E0,2.164999954E-2,7.458200306E-2,2.297810018E-1
4.893799473E0,2.164999954E-2,7.458200306E-2,2.297810018E-1
4.907805151E0,1.363999955E-2,4.084699973E-2,2.512089908E-1
4.921810069E0,1.245800033E-2,4.194900021E-2,2.256810069E-1
4.935815761E0,1.245800033E-2,4.194900021E-2,2.256810069E-1
4.949822242E0,1.347200014E-2,2.932699956E-2,2.242030054E-1
4.963827930E0,1.272500027E-2,2.558800019E-2,1.927080005E-1
4.977832853E0,1.272500027E-2,2.558800019E-2,1.927080005E-1
4.991838540E0,3.157600015E-2,3.464699909E-2,1.860450059E-1
5.005844987E0,4.583499953E-2,2.670099959E-2,1.743270010E-1
5.019850670E0,4.428499937E-2,3.275400028E-2,2.085849941E-1
5.033855598E0,4.428499937E-2,3.275400028E-2,2.085849941E-1
5.047861262E0,2.730499953E-2,3.856299818E-2,1.750379950E-1
5.061867713E0,2.545000054E-2,5.493599921E-2,2.183050066E-1
5.075873392E0,2.545000054E-2,5.493599921E-2,2.183050066E-1
5.089878310E0,3.277700022E-2,6.237199903E-2,2.148140073E-1
5.103884031E0,1.034499984E-2,5.389399827E-2,2.033369988E-1
5.117890382E0,1.034499984E-2,5.389399827E-2,2.033369988E-1
5.131896055E0,3.100599907E-2,1.176500041E-2,3.093360066E-1
5.145900968E0,1.206499990E-2,3.443099931E-2,-9.155499935E-2
5.159906622E0,-3.228999907E-3,7.917500287E-2,1.993280053E-1
5.173913055E0,-3.228999907E-3,7.917500287E-2,1.993280053E-1
5.187918757E0,6.066099927E-2,-4.184999969E-3,3.202219903E-1
5.201923655E0,-1.774599962E-2,-5.247300118E-2,1.474180073E-1
5.215929376E0,-1.774599962E-2,-5.247300118E-2,1.474180073E-1
5.229935843E0,4.958000034E-2,8.929999545E-3,1.521639973E-1
5.243941506E0,2.956099994E-2,1.199629977E-1,2.122769952E-1
5.257946429E0,2.956099994E-2,1.199629977E-1,2.122769952E-1
5.271952145E0,-7.300000289E-4,1.186039969E-1,2.504769862E-1
5.285958607E0,5.921000149E-3,5.819899961E-2,2.505820096E-1
5.299964270E0,9.933000430E-3,4.887500033E-2,2.412970066E-1
5.313969217E0,9.933000430E-3,4.887500033E-2,2.412970066E-1
5.327974842E0,-3.291000053E-2,5.825800076E-2,2.523790002E-1
5.341981318E0,9.135000408E-3,6.781399995E-2,2.843970060E-1
5.355986914E0,9.135000408E-3,6.781399995E-2,2.843970060E-1
5.369991924E0,4.492999986E-2,7.774399966E-2,2.793290019E-1
5.383997553E0,6.676000357E-2,4.564199969E-2,2.703770101E-1
