"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.107794794E0,-1.320500020E-2,-3.175000101E-2,2.391279936E-1
5.121800938E0,-9.472999722E-3,-4.297000170E-2,2.359399945E-1
5.135807794E0,-9.472999722E-3,-4.297000170E-2,2.359399945E-1
5.149813943E0,-4.325999878E-3,-6.638000160E-2,2.357079983E-1
5.163819246E0,-3.216800094E-2,-1.035490036E-1,2.553690076E-1
5.177825391E0,-3.216800094E-2,-1.035490036E-1,2.553690076E-1
5.191832261E0,-1.997599937E-2,-1.117559969E-1,2.135670036E-1
5.205838323E0,-3.205999965E-3,-5.631500110E-2,2.438109964E-1
5.219843694E0,-3.205999965E-3,-5.631500110E-2,2.438109964E-1
5.233849847E0,-6.597999949E-3,-4.580099881E-2,1.583919972E-1
5.247856703E0,-7.213999983E-3,-4.504900053E-2,1.983599961E-1
5.261862785E0,-2.966099977E-2,-6.734699756E-2,1.713639945E-1
